Countries ;%GDP Agriculture2007;%GDP Industry2007;%GDP Services2007;Children Per Women2007;Cumulative CO2 Emissions2007;Democracy Score2007;Energy Use Total2007;Extreme Poverty headcount ratio at $1.25 a day (PPP) (% of population)2007;GDP Per Capita2007;GDP Total2007;HDI2007;Life Expectancy2007;Murders Total Deaths2007;Population Density2007;Population Total2007;Poverty headcount ratio at $2 a day (PPP) (% of population)2007;Working Hours per Week2007
abkhazia;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
denmark;1.1769;25.6355;73.1876;1.8464;3523538333.3358;10.0000;19762281.0000;X;32767.4035;178957142593.7560;0.8900;78.4400;52.0000;126.9120;5469130.0000;X;X
djibouti;3.8553;16.8857;79.2591;3.8320;14542000.0001;2.0000;143000.0000;X;837.2779;702855469.8339;0.4160;58.8160;27.0000;36.1830;839453.0000;X;X
dominica;12.8260;16.3140;70.8600;X;2548333.3335;X;43000.0000;X;5596.6240;387615140.5654;0.7190;X;7.0000;91.1240;68434.0000;X;X
dominican republic;6.5713;X;X;X;467404666.6793;X;8348166.0000;3.8300;3594.0733;34258540898.9641;0.6720;X;X;196.4910;X;11.4700;X
east germany;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
ecuador;6.9581;38.7587;54.2832;2.7680;718457666.6612;5.0000;11332313.0000;7.2300;1618.8680;22420870169.8103;0.7020;74.9730;3042.0000;48.8420;13849721.0000;14.4300;X
egypt;14.0702;36.3445;49.5853;2.9870;3575051333.3454;-3.0000;71037935.0000;X;1765.8694;135868769654.2440;0.6260;69.8380;912.0000;76.8300;76941572.0000;X;X
el salvador;11.8659;28.4068;59.7273;2.3500;151418666.6635;7.0000;4452025.0000;6.5800;2609.0899;15917713172.3067;0.6680;71.1840;2561.0000;289.9510;6100868.0000;13.4000;X
equatorial guinea;2.6779;94.5757;2.7465;5.3900;37836333.3340;-5.0000;1759000.0000;X;7994.3864;5148299306.7825;0.5260;49.7960;113.0000;22.9560;643936.0000;X;X
eritrea;25.3831;20.0789;54.5379;5.2660;7883333.3333;-7.0000;720631.0000;X;167.7992;805194805.1948;X;59.7270;693.0000;40.8040;4798561.0000;X;X
eritrea and ethiopia;X;X;X;X;X;X;X;X;X;X;X;X;X;X;81418472.0000;X;X
estonia;X;30.0462;66.5774;1.5980;284166666.6733;9.0000;5623844.0000;X;7072.4359;9488928631.4304;0.8340;73.1400;120.0000;29.7750;1342873.0000;X;X
ethiopia;46.2386;13.2713;40.4900;5.3530;123900333.3336;1.0000;30512124.0000;X;176.1074;13802890302.1844;0.3370;58.6700;14894.0000;70.3780;77718436.0000;X;X
faeroe islands;X;X;X;X;22062333.3335;X;X;X;X;X;X;X;X;34.7190;48572.0000;X;X
falkland is (malvinas);X;X;X;X;4374333.3336;X;X;X;X;X;X;X;X;0.2450;X;X;X
fiji;13.9062;18.1167;67.9771;2.7740;34536333.3340;-4.0000;524000.0000;X;2295.4383;1917139709.0564;0.6810;68.7330;6.0000;45.7080;835267.0000;X;X
finland;3.0067;33.7507;63.2426;1.8300;2475491333.3408;10.0000;36795024.0000;X;28839.2224;152522572323.5670;0.8810;79.5300;134.0000;15.6450;5290431.0000;X;32.6538
france;2.2177;20.6166;77.1657;1.9640;33646040999.8890;9.0000;263483089.0000;X;23516.2232;1505321677069.4600;0.8770;81.1400;501.0000;111.9580;61744596.0000;X;30.0125
french guiana;X;X;X;3.3210;20496666.6668;X;X;X;X;X;X;75.8240;X;2.3820;214366.0000;X;X
french polynesia;X;X;X;2.1840;20522333.3331;X;X;X;X;X;X;74.8120;X;65.3360;261345.0000;X;X
gabon;4.8461;60.2526;34.9012;4.3040;155701333.3326;-4.0000;1988813.0000;X;4143.3346;5898573546.0085;0.6560;60.9490;218.0000;5.3190;1423637.0000;X;X
gambia;21.0176;14.7933;56.4982;5.7990;7758666.6666;-5.0000;133000.0000;X;598.0823;1011867196.8692;0.3990;57.3100;212.0000;140.8900;1591357.0000;X;X
georgia;10.6955;24.3088;64.9957;1.7580;88678333.3330;6.0000;3341325.0000;15.1900;1219.4483;5351427005.0921;0.7240;73.4500;166.0000;63.3570;4415956.0000;34.9200;X
germany;0.9619;30.4820;68.5561;1.3610;81411858000.2919;10.0000;331169028.0000;X;25297.3854;2081124117402.7500;0.9010;79.8833;570.0000;231.1240;82516297.0000;X;27.5577
ghana;29.0499;20.7472;50.2029;4.2570;197923000.0003;8.0000;9064105.0000;X;317.7364;7208793173.0977;0.5080;59.6560;2555.0000;95.2170;22712403.0000;X;X
gibraltar;X;X;X;X;7777000.0002;X;X;X;X;X;X;X;X;4882.6670;29296.0000;X;X
greece;X;19.2256;X;1.4310;2806085333.3231;10.0000;30216691.0000;X;14801.5542;164856617855.6600;0.8600;79.7350;97.0000;85.2980;11255717.0000;X;X
greenland;X;X;X;2.2990;24306333.3332;X;X;X;21773.9250;1231424330.1145;X;70.0350;X;0.0260;57316.0000;X;X
grenada;4.0656;21.8734;74.0312;2.3010;4755666.6667;X;81000.0000;X;6443.5363;604222784.9271;X;71.8840;5.0000;300.4880;103368.0000;X;X
guadeloupe;X;X;X;2.1270;46463999.9993;X;X;X;X;X;X;79.2470;X;265.2510;452253.0000;X;X
guam;X;X;X;2.5620;X;X;X;X;X;X;X;77.2330;X;315.7270;173334.0000;X;X
guatemala;12.4060;29.7255;57.8685;4.1990;257873000.0003;8.0000;8527419.0000;X;1877.7515;25084585159.7893;0.5650;70.2150;5101.0000;122.6830;13358842.0000;X;X
guernsey;X;X;X;X;X;X;X;X;X;X;X;X;X;X;65573.0000;X;X
guinea;25.3456;43.3916;31.2628;5.4230;47542000.0004;-1.0000;X;43.3400;387.7516;5150498469.1157;0.3370;53.9580;1531.0000;38.1260;9373619.0000;69.5900;X
guinea-bissau;X;X;X;5.3170;7872333.3334;6.0000;95000.0000;X;155.9948;222166391.4970;0.3450;52.8610;253.0000;39.4240;1424191.0000;X;X
guyana;24.4070;29.9614;45.6316;2.7540;71041666.6672;6.0000;500000.0000;X;1107.3520;830589276.2663;0.6190;65.0470;168.0000;3.4890;750068.0000;X;X
haiti;X;X;X;3.5800;44289666.6662;5.0000;2777133.0000;X;392.0942;3767705734.9631;0.4430;60.3780;482.0000;346.2510;9608453.0000;X;X
holy see;X;X;X;X;X;X;X;X;X;X;X;X;X;1022.7270;450.0000;X;X
honduras;13.0074;28.5642;58.4285;3.3400;140293999.9984;7.0000;4691687.0000;16.2600;1409.9790;10093784782.4346;0.6130;71.9570;1384.0000;63.8680;7158819.0000;29.7300;X
hong kong. china;0.0642;7.4915;92.4444;1.0210;1062779666.6613;X;14337964.0000;X;34734.5473;235782862470.9780;0.8700;82.3100;X;6253.6670;6872780.0000;X;X
hungary;4.0244;30.1911;65.7845;1.3200;4331180333.3292;10.0000;26728593.0000;0.1700;5884.1410;59169627000.7808;0.8090;73.4500;222.0000;107.9480;10042572.0000;0.3500;38.2000
iceland;5.6949;25.8099;68.4952;2.1050;94765000.0023;X;4836174.0000;X;38185.3337;11897251671.8575;0.8990;81.3100;3.0000;2.9680;305721.0000;X;34.7500
india;18.2563;29.0363;52.7048;2.6940;31926495333.0457;9.0000;598801236.0000;X;673.0047;790088337362.2270;0.5230;64.7510;61229.0000;357.1270;1173971629.0000;X;X
indonesia;13.7167;46.7991;39.4842;2.4900;7256036333.3020;8.0000;184681125.0000;24.2000;1003.3644;233243848106.7380;0.5910;69.4450;20100.0000;122.0550;232461746.0000;56.1300;X
iran;10.2167;44.4749;45.3084;1.8700;9934943333.5165;-6.0000;190091568.0000;X;2125.0303;151802594344.1300;0.6940;72.1220;1742.0000;43.3420;71435498.0000;X;X
iraq;X;X;X;4.4120;2613222333.4133;-1.0000;22394776.0000;2.8200;699.7056;20496195775.6696;0.5580;68.7920;2016.0000;66.0720;28960581.0000;21.4100;X
ireland;1.4262;33.5429;65.0309;1.9990;1664604333.3339;10.0000;15088820.0000;X;31543.6025;137432137278.7680;0.9090;79.6550;30.0000;61.0660;4291258.0000;X;31.3462
isle of man;X;X;X;X;X;X;X;X;29462.2649;2392424298.5484;X;X;X;141.9630;81203.0000;X;X
israel;X;X;X;2.9130;1608453000.0190;10.0000;20719254.0000;X;21469.5345;154153404720.7750;0.8820;80.4600;312.0000;312.4940;6920182.0000;X;X
italy;2.0461;27.3472;70.6067;1.3670;19483053333.3983;10.0000;179598604.0000;X;20291.2266;1204797445901.4500;0.8690;81.1110;559.0000;197.4500;59495243.0000;X;35.0706
jamaica;5.3171;25.3384;69.3445;2.4140;354082666.6660;9.0000;4687212.0000;X;X;10297038292.1733;0.7170;72.0690;899.0000;246.4780;2709042.0000;X;X
japan;1.1463;29.4381;69.1353;1.3290;46044404999.4000;10.0000;515192550.0000;X;40837.2666;5217808186994.9000;0.8940;82.8700;686.0000;334.8100;126515486.0000;X;34.3269
jersey;X;X;X;X;X;X;X;X;X;X;X;X;X;X;91321.0000;X;X
jordan;2.8422;30.3146;66.9603;3.6410;398478666.6598;-3.0000;7208967.0000;X;2380.5093;13478443881.9761;0.6850;72.9140;369.0000;63.4350;5667443.0000;X;X
kazakhstan;6.0966;40.6392;53.2642;2.4550;2702916333.4000;-6.0000;66230504.0000;0.1700;2332.2949;36113702489.5315;0.7270;65.6290;2444.0000;5.6800;15476093.0000;1.4800;X
kenya;25.0112;18.5388;56.4500;4.8240;283396666.6653;7.0000;17178317.0000;X;461.0194;17262285408.5535;0.4860;56.6270;7221.0000;64.5890;37485246.0000;X;X
kiribati;27.2599;8.0031;64.7369;3.1860;1162333.3333;X;11000.0000;X;773.0188;76008011.3299;X;66.9700;6.0000;130.9130;95043.0000;X;X
north korea;X;X;X;X;5967188333.2760;X;18299646.0000;X;X;X;X;X;X;199.1790;X;X;X
south korea;2.8817;X;X;X;10074177666.9007;X;222146519.0000;X;15113.3528;734478718311.0800;0.8810;X;X;477.1980;X;X;X
united korea (former);X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
kosovo;12.0000;20.0000;68.0000;X;X;X;1948231.0000;X;1702.4972;2951115463.1305;X;X;X;X;2421609.0000;X;X
kuwait;X;X;X;2.6670;1671273999.9726;-7.0000;26388952.0000;X;25100.0281;61440300584.1842;0.7560;73.7260;36.0000;137.3790;2447818.0000;X;X
kyrgyz republic;31.0758;X;X;X;91930666.6680;X;2913674.0000;1.9000;350.3441;1845752890.8107;0.6050;X;X;25.7090;X;29.4000;X
lao;36.0603;X;X;X;22363000.0002;X;X;X;461.6633;2738302708.7487;0.5000;X;X;25.0480;X;X;X
latvia;3.5804;23.2540;73.1656;1.4670;136498999.9910;8.0000;4669844.0000;0.2100;6296.2271;14330842539.1591;0.8000;70.7700;236.0000;35.3200;2281693.0000;0.4700;X
lebanon;7.1190;21.8756;71.0054;1.6210;441650000.0083;7.0000;4207156.0000;X;5436.6519;22479859653.5182;0.7210;77.9700;99.0000;397.5840;4134872.0000;X;X
lesotho;7.6627;35.9165;56.4208;3.4050;X;8.0000;19000.0000;X;446.3204;940007924.9201;0.4290;44.9610;260.0000;69.3830;2106128.0000;X;X
liberia;X;18.9200;26.0900;5.2770;39746666.6656;6.0000;X;83.7600;217.1365;755026240.6835;0.3190;57.2120;562.0000;31.2220;3477197.0000;94.8800;X
